cluster_pca_h,month,mean_precip,mean_temp
1,1,203.03333333333333,-6.083333333333333
1,2,156.328125,-5.748958333333333
1,3,178.58020833333333,-3.3489583333333335
1,4,145.378125,-0.13125000000000003
1,5,182.94270833333334,3.8041666666666667
1,6,151.13020833333334,8.305208333333333
1,7,164.08229166666666,9.826041666666667
1,8,174.08125,9.775
1,9,132.91979166666667,6.505208333333333
1,10,155.7,3.5552083333333333
1,11,185.5375,-1.465625
1,12,198.98645833333333,-4.539583333333334
2,1,74.93035714285715,0.7303571428571428
2,2,56.463095238095235,1.95
2,3,69.93690476190476,5.669047619047619
2,4,68.10297619047618,9.623214285714285
2,5,98.98690476190477,13.455357142857142
2,6,93.53511904761905,17.78392857142857
2,7,102.7702380952381,19.18154761904762
2,8,106.77142857142857,18.582738095238096
2,9,71.9029761904762,14.767261904761904
2,10,83.225,10.517857142857142
2,11,81.28511904761905,5.154761904761905
2,12,91.35,1.6875
3,1,74.98666666666666,-0.8525
3,2,57.71083333333333,0.2675
3,3,74.3325,3.8649999999999998
3,4,81.635,7.883333333333334
3,5,129.8325,11.8475
3,6,140.71166666666667,15.94
3,7,156.06833333333333,17.15416666666667
3,8,173.79666666666665,16.721666666666668
3,9,107.2275,12.985
3,10,90.63166666666666,9.226666666666667
3,11,81.04916666666666,3.9475000000000002
3,12,81.28,0.41583333333333333
4,1,44.31388888888889,-3.745833333333333
4,2,41.230555555555554,-2.3194444444444446
4,3,53.17638888888889,1.5652777777777778
4,4,87.1875,5.551388888888889
4,5,120.22222222222223,9.919444444444444
4,6,115.75972222222222,14.204166666666666
4,7,125.025,15.7375
4,8,150.4597222222222,15.195833333333333
4,9,98.52916666666667,11.483333333333333
4,10,131.84444444444443,7.226388888888889
4,11,134.5875,1.8583333333333334
4,12,61.575,-2.251388888888889
